color,created_at,id,name,total_availlble,total_clicks,total_purchased,unit_price
#a547d1,"Thu, 07 Oct 2021 03:29:37 GMT",02d12915-1253-492a-a1be-f578bc1471d8,Shoes,3744,6859,2854,786.51
#ffe2cc,"Mon, 05 Jan 2009 22:46:32 GMT",35a1f1cf-6a16-42ae-bdce-1d6d90e2713b,Hat,9056,4017,377,252.67
#b77f37,"Fri, 26 Apr 1985 16:55:49 GMT",70babb72-0280-41e5-8bac-8c89e4d05faf,Shoes,6772,4975,8902,180.08
#91ffe3,"Wed, 08 Apr 1998 03:51:56 GMT",9584c877-7895-4d60-b844-296daa4241ea,Hat,3485,5896,365,461.07
#ce5475,"Fri, 18 May 2007 14:39:27 GMT",b0c48c02-f95e-400f-b8fa-fb78d158d72d,Shirt,4335,4652,1256,862.88
#ccffff,"Fri, 17 Oct 1975 03:38:23 GMT",6b705d4e-0e89-4cc0-9832-87f5caefde99,Soap,3364,955,5007,741.74
#94f7e8,"Thu, 05 Aug 1976 13:51:01 GMT",59050622-3afb-4967-932d-7792e3bb8210,Shirt,593,6040,2810,307.29
#2b65af,"Thu, 08 Nov 2018 20:48:21 GMT",3d27defc-ccb1-413d-8edf-9ebd3d3b38fd,Shoes,1586,9858,5171,544.37
#473aa8,"Wed, 10 Nov 1976 22:52:27 GMT",ca91b46e-f96c-4e84-9693-08a175dda7ff,Shirt,8595,9324,9284,886.74
#fffd91,"Sat, 13 Apr 2013 07:23:40 GMT",dea12f34-638d-4add-b4be-79612e72a162,keyboard,1375,8616,2908,184.33
#ef5de8,"Fri, 23 Apr 2004 17:52:07 GMT",668e141a-9a8d-4f44-901b-25a4e4554ed4,Shirt,2511,4259,276,829.6
#03af4e,"Fri, 18 Aug 2017 09:58:05 GMT",8141203c-be0a-4c1c-b011-4771987bd769,Soap,8581,5874,523,470.88
#ffd1c1,"Fri, 21 Nov 2014 10:44:22 GMT",7864aa8a-5d87-44cd-87dd-c8320a6ddba9,Shoes,1379,4779,699,178.08
#68ce40,"Mon, 07 Apr 2008 10:13:57 GMT",41d94faf-f64c-41ff-a94d-49da9cca58fb,Shoes,2306,4913,8381,713.9
#d37847,"Sun, 19 Jul 2015 09:12:37 GMT",ba92d191-0c37-4cef-b3f9-c7a1e123913f,Chair,1028,3380,8578,899.01
